federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,survey_date,survey_type,deficiency_prefix,deficiency_category,deficiency_tag_number,tag_version,deficiency_description,scope_severity_code,deficiency_corrected,correction_date,inspection_cycle,standard_deficiency,complaint_deficiency,infection_control_inspection_deficiency,location,processing_date
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,03/29/22,Fire Safety,K,Egress Deficiencies,291,New,Install emergency lighting that can last at least 1 1/2 hours.,D,"Deficient, Provider has date of correction",03/31/22,1,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,03/29/22,Fire Safety,K,Smoke Deficiencies,324,New,Provide properly protected cooking facilities.,E,"Deficient, Provider has date of correction",03/31/22,1,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,07/23/19,Fire Safety,K,Egress Deficiencies,223,New,Provide exit doors that are held open by devices that will automatically close on the activation of a fire alarm or smoke detector.,F,"Deficient, Provider has date of correction",08/07/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,07/23/19,Fire Safety,K,Miscellaneous Deficiencies,712,New,Have simulated fire drills held at unexpected times.,F,"Deficient, Provider has date of correction",08/07/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,07/09/19,Fire Safety,E,Emergency Preparedness Deficiencies,6,New,Conduct risk assessment and an All-Hazards approach.,D,"Deficient, Provider has date of correction",08/23/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,07/09/19,Fire Safety,E,Emergency Preparedness Deficiencies,7,New,Address patient/client population and determine types of services needed.,D,"Deficient, Provider has date of correction",08/23/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,07/09/19,Fire Safety,E,Emergency Preparedness Deficiencies,13,New,Develop Emergency Preparedness policies and procedures.,D,"Deficient, Provider has date of correction",08/23/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,07/09/19,Fire Safety,E,Emergency Preparedness Deficiencies,15,New,Address subsistence needs for staff and patients.,D,"Deficient, Provider has date of correction",08/23/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,07/09/19,Fire Safety,E,Emergency Preparedness Deficiencies,18,New,Establish procedures for tracking staff and patients during an emergency.,D,"Deficient, Provider has date of correction",08/23/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
495002,SOUTH ROANOKE NURSING AND REHABILITATION,"3823 FRANKLIN RD, SW",ROANOKE,VA,24014,07/09/19,Fire Safety,E,Emergency Preparedness Deficiencies,22,New,Establish policies and procedures for sheltering.,D,"Deficient, Provider has date of correction",08/23/19,2,Y,N,N,"3823 FRANKLIN RD, SW,ROANOKE,VA,24014",07/01/22
